wyscout_team,wyscout_competition,opta_contestant_id,opta_team,opta_country,opta_league,match_method,match_score,rating,rank,review_status,notes
Talleres Córdoba,Argentina. Liga Profesional de Fútbol,ajeh0pq7dtphe0btz4wc4xb0g,Talleres de Córdoba,Argentina,Liga Profesional Argentina,fuzzy_country,91.43,80.6001897446,302,needs_review,""
Tigre,Argentina. Liga Profesional de Fútbol,cs3122cdx3g2nviltzfilmz5c,Tigre,Argentina,Liga Profesional Argentina,exact_name,100,82.3026348734,205,auto_confirmed,""
Unión Santa Fe,Argentina. Liga Profesional de Fútbol,"","","","",unmapped,,,,unmapped,""
Vélez Sarsfield,Argentina. Liga Profesional de Fútbol,a3kgi895b7b3ecfzmoyxbw2pl,Vélez Sarsfield,Argentina,Liga Profesional Argentina,exact_name,100,84.6210497354,117,auto_confirmed,""
Adelaide United,Australia. A-League,6lezh5aazy0xca1800e5dqxwl,Adelaide United,Australia,A-League Men,exact_name,100,71.3042655555,1238,auto_confirmed,""
Auckland FC,Australia. A-League,1csft77zeexrhddgjoxuht7v8,Auckland,New Zealand,A-League Men,exact_name,100,73.9636790599,891,auto_confirmed,""
Brisbane Roar,Australia. A-League,v046no35g7ebk8lytdjmfb43,Brisbane Roar,Australia,A-League Men,exact_name,100,67.2046640133,1947,auto_confirmed,""
Central Coast Mariners,Australia. A-League,c4ygb6mnh53kpl2mpxe52l8jw,Central Coast Mariners,Australia,A-League Men,exact_name,100,68.1193767723,1755,auto_confirmed,""
Macarthur,Australia. A-League,7jv344gvcvgqg7oeuc9u554dm,Macarthur,Australia,A-League Men,exact_name,100,69.3939362267,1513,auto_confirmed,""
Melbourne City,Australia. A-League,c33jm806py6adse5wv9wx6ch1,Melbourne City,Australia,A-League Men,exact_name,100,73.181351749,990,auto_confirmed,""
Melbourne Victory,Australia. A-League,9xmhnv6im8h7c9e17oqvcx8gl,Melbourne Victory,Australia,A-League Men,exact_name,100,72.9340388564,1027,auto_confirmed,""
Newcastle Jets,Australia. A-League,chu9blh367xs3yumct5tqto2q,Newcastle Jets,Australia,A-League Men,exact_name,100,72.3168548646,1093,auto_confirmed,""
Perth Glory,Australia. A-League,cuj4qahgk4idsme4dg8clk6gw,Perth Glory,Australia,A-League Men,exact_name,100,67.99489152,1778,auto_confirmed,""
Sydney,Australia. A-League,38ui5tfi8anjuh533emny2tz1,Sydney,Australia,A-League Men,exact_name,100,72.5806846316,1061,auto_confirmed,""
Wellington Phoenix,Australia. A-League,6j4xzc2g1eeafo6v1f38d4x22,Wellington Phoenix,New Zealand,A-League Men,exact_name,100,68.9113401397,1600,auto_confirmed,""
Western Sydney Wanderers,Australia. A-League,6h553bwfqkoxayuv80uikkn42,Western Sydney Wanderers,Australia,A-League Men,exact_name,100,69.0161403265,1574,auto_confirmed,""
Western United,Australia. A-League,edfarqi4vewvh4je2f72dv310,Western United II,Australia,Victoria PL 1,fuzzy_country,90.32,27.6032689007,13909,needs_review,""
Admira,Austria. 2. Liga,4l5d2ebcjlj5rsxqfzx3wc2nh,Admira Wacker,Austria,2. Liga,exact_name,100,68.9696573909,1587,auto_confirmed,""
Amstetten,Austria. 2. Liga,1xmid87fkbcqkezkukhggmuqz,Amstetten,Austria,2. Liga,exact_name,100,67.7590071529,1831,auto_confirmed,""
Austria Klagenfurt,Austria. 2. Liga,8fw92w95mzdtzm4vxhsglfopu,Austria Klagenfurt,Austria,Regionalliga,exact_name,100,59.086373292,4221,auto_confirmed,""
Austria Lustenau,Austria. 2. Liga,9ws0f9wf5r8mdigwo0xpzv06v,Austria Lustenau,Austria,Bundesliga,exact_name,100,75.3438212044,723,auto_confirmed,""
Austria Salzburg,Austria. 2. Liga,a9io8h96ezoam16femvkqsdci,Austria Salzburg,Austria,2. Liga,exact_name,100,66.2191046214,2179,auto_confirmed,""
Austria Wien II,Austria. 2. Liga,dh84jb15hz28bucnz91mv1pzq,Austria Wien II,Austria,2. Liga,exact_name,100,65.2536224461,2406,auto_confirmed,""
Blau-Weiß Linz,Austria. 2. Liga,bm759tfjxbog9lhge0pbs219p,Blau-Weiß Linz,Austria,2. Liga,exact_name,100,70.56065455,1324,auto_confirmed,""
Bregenz,Austria. 2. Liga,"","","","",unmapped,,,,unmapped,""
Dornbirn,Austria. 2. Liga,9nxjca31oik16pmqqsfl4m23o,Dornbirn,Austria,Regionalliga,exact_name,100,60.3942989061,3813,auto_confirmed,""
First Vienna,Austria. 2. Liga,1gurvegli2702alzniefj6e0t,First Vienna,Austria,2. Liga,exact_name,100,69.6358494795,1482,auto_confirmed,""
Floridsdorfer AC,Austria. 2. Liga,1ol9hddzir7o6zgcdp2rgatkw,Floridsdorfer AC,Austria,2. Liga,exact_name,100,68.9184835513,1597,auto_confirmed,""
Grazer AK,Austria. 2. Liga,39vgp5h6xs9igypqgqq2dobf9,Grazer AK,Austria,Bundesliga,exact_name,100,76.5011984797,612,auto_confirmed,""
Hertha Wels,Austria. 2. Liga,2ijvxa3iwb72ntub8w0g3kk5w,Hertha Wels,Austria,2. Liga,exact_name,100,63.7612378601,2842,auto_confirmed,""
Horn,Austria. 2. Liga,1edf8w4r0lxpx9vg1498lntkx,Horn,Austria,Regionalliga,exact_name,100,58.2964790723,4501,auto_confirmed,""
Kapfenberger SV,Austria. 2. Liga,d2ct6l5jqdryxd2ozx5x3s5h,Kapfenberger SV,Austria,2. Liga,exact_name,100,62.1438186169,3306,auto_confirmed,""
Lafnitz,Austria. 2. Liga,cxurxrgv6ybpkp39a53e692kb,Lafnitz,Austria,Regionalliga,exact_name,100,56.1744761427,5200,auto_confirmed,""
Leoben,Austria. 2. Liga,2ludyjttpxe2kfcev7babrkfi,Leoben,Austria,Landesliga,exact_name,100,40.1318024102,11948,auto_confirmed,""
Liefering,Austria. 2. Liga,bkrmyopzqndrathh3vwhr8plb,Liefering,Austria,2. Liga,exact_name,100,67.3517835179,1912,auto_confirmed,""
Rapid Wien II,Austria. 2. Liga,8vptjbbpyl30j22jw58psjjyt,Rapid Wien II,Austria,2. Liga,exact_name,100,62.4677702299,3195,auto_confirmed,""
Ried,Austria. 2. Liga,do3l4dhs0ooog6se728jxc06z,Ried,Austria,Bundesliga,exact_name,100,76.7229631691,592,auto_confirmed,""
St. Pölten,Austria. 2. Liga,5z4worzp3ahwy7w7o6q0z3fk,St. Pölten,Austria,2. Liga,exact_name,100,69.2412774095,1537,auto_confirmed,""
Stripfing,Austria. 2. Liga,6h328ajn9ihs4fwdpsgbqqcqk,Stripfing,Austria,"",exact_name,100,63.5587877685,2907,auto_confirmed,""
Sturm Graz II,Austria. 2. Liga,bkdfxcscvinu0k0r04f8zb2yg,Sturm Graz II,Austria,2. Liga,exact_name,100,62.3320061197,3241,auto_confirmed,""
Voitsberg,Austria. 2. Liga,5xn6qbeq9jbmkgfk2zphzwhzp,Voitsberg,Austria,2. Liga,exact_name,100,64.7910691237,2514,auto_confirmed,""
Vorwärts Steyr,Austria. 2. Liga,wotujh61hdq6vm9r11u54lu1,Vorwärts Steyr,Austria,Regionalliga,exact_name,100,53.8138499846,6064,auto_confirmed,""
WSPG Wels,Austria. 2. Liga,"","","","",unmapped,,,,unmapped,""
Wacker Innsbruck,Austria. 2. Liga,cxwf7r6qzcvnngne52adlzg2y,Wacker Innsbruck,Austria,2. Liga,exact_name,100,65.0639788594,2458,auto_confirmed,""
Austria Klagenfurt,Austria. Bundesliga,8fw92w95mzdtzm4vxhsglfopu,Austria Klagenfurt,Austria,Regionalliga,exact_name,100,59.086373292,4221,auto_confirmed,""
Austria Lustenau,Austria. Bundesliga,9ws0f9wf5r8mdigwo0xpzv06v,Austria Lustenau,Austria,Bundesliga,exact_name,100,75.3438212044,723,auto_confirmed,""
Austria Wien,Austria. Bundesliga,84gk4ytf9vr8oml51cqyit78w,Austria Wien,Austria,Bundesliga,exact_name,100,78.1515117536,471,auto_confirmed,""
Blau-Weiß Linz,Austria. Bundesliga,bm759tfjxbog9lhge0pbs219p,Blau-Weiß Linz,Austria,2. Liga,exact_name,100,70.56065455,1324,auto_confirmed,""
Grazer AK,Austria. Bundesliga,39vgp5h6xs9igypqgqq2dobf9,Grazer AK,Austria,Bundesliga,exact_name,100,76.5011984797,612,auto_confirmed,""
Hartberg,Austria. Bundesliga,1vli32f09v65mc3vc6yh34z9f,Hartberg,Austria,Bundesliga,exact_name,100,76.8982639478,576,auto_confirmed,""
LASK,Austria. Bundesliga,boxkkgnpn38ywao4kzu7dx58h,LASK,Austria,Bundesliga,exact_name,100,84.6756791919,116,auto_confirmed,""
Rapid Wien,Austria. Bundesliga,8vptjbbpyl30j22jw58psjjyt,Rapid Wien II,Austria,2. Liga,fuzzy_country,86.96,62.4677702299,3195,needs_review,""
Rheindorf Altach,Austria. Bundesliga,89mmrtshvodpx7ptshk78az7g,Rheindorf Altach II,Austria,Regionalliga,fuzzy_country,91.43,51.7887615066,6970,needs_review,""
Ried,Austria. Bundesliga,do3l4dhs0ooog6se728jxc06z,Ried,Austria,Bundesliga,exact_name,100,76.7229631691,592,auto_confirmed,""
Salzburg,Austria. Bundesliga,bonj6qc7po4anunhydmjmi6g5,Salzburg,Austria,Bundesliga,exact_name,100,84.8643114365,113,auto_confirmed,""
Sturm Graz,Austria. Bundesliga,4lauow63npvttmvxgh2koqb0r,Sturm Graz,Austria,Bundesliga,exact_name,100,82.528361089,193,auto_confirmed,""
WSG Swarovski Tirol,Austria. Bundesliga,"","","","",unmapped,,,,unmapped,""
Wolfsberger AC,Austria. Bundesliga,9pn4d8sj6pmqidrhhlvev437k,Wolfsberger AC,Austria,Bundesliga,exact_name,100,75.5063028492,707,auto_confirmed,""
Araz Saatlı,Azerbaijan. Birinci Dasta,"","","","",unmapped,,,,unmapped,""
Asta Mingachevir,Azerbaijan. Birinci Dasta,"","","","",unmapped,,,,unmapped,""
Baku Sporting,Azerbaijan. Birinci Dasta,6h3u9i2n5l5w9mqil3y4v6sr8,Baku Sportinq,Azerbaijan,Birinci Dasta,fuzzy_country,92.31,57.4190839921,4799,needs_review,""
Baku Sportinq,Azerbaijan. Birinci Dasta,6h3u9i2n5l5w9mqil3y4v6sr8,Baku Sportinq,Azerbaijan,Birinci Dasta,exact_name,100,57.4190839921,4799,auto_confirmed,""
Cabrayil,Azerbaijan. Birinci Dasta,"","","","",unmapped,,,,unmapped,""
Difai Ağsu,Azerbaijan. Birinci Dasta,5yegjol04k8x0qhcmg56o7rbo,Difai Ağsu,Azerbaijan,"",exact_name,100,52.7086000271,6525,auto_confirmed,""
Energetik,Azerbaijan. Birinci Dasta,"","","","",unmapped,,,,unmapped,""
Ganjabasar,Azerbaijan. Birinci Dasta,"","","","",unmapped,,,,unmapped,""
Karvan,Azerbaijan. Birinci Dasta,bcxl71nh9okv94c8mpuwkm1mg,Karvan,Azerbaijan,Birinci Dasta,exact_name,100,61.3218915687,3529,auto_confirmed,""
MOIK,Azerbaijan. Birinci Dasta,chrxzef1ap5znq681ev7vgcv0,MOIK,Azerbaijan,Birinci Dasta,exact_name,100,56.6446250326,5048,auto_confirmed,""
MOIK Baku,Azerbaijan. Birinci Dasta,chrxzef1ap5znq681ev7vgcv0,MOIK,Azerbaijan,Birinci Dasta,exact_name,100,56.6446250326,5048,auto_confirmed,""
Qabala,Azerbaijan. Birinci Dasta,"","","","",unmapped,,,,unmapped,""
Qarabag Khankendi,Azerbaijan. Birinci Dasta,"","","","",unmapped,,,,unmapped,""
Qaradag Lokbatan,Azerbaijan. Birinci Dasta,"","","","",unmapped,,,,unmapped,""
Sabail,Azerbaijan. Birinci Dasta,"","","","",unmapped,,,,unmapped,""
Shafa Baku,Azerbaijan. Birinci Dasta,"","","","",unmapped,,,,unmapped,""
Shamakhi FK,Azerbaijan. Birinci Dasta,"","","","",unmapped,,,,unmapped,""
Zaqatala,Azerbaijan. Birinci Dasta,b3fsgcirbd703qsek66sptpt5,Zaqatala,Azerbaijan,Birinci Dasta,exact_name,100,56.5803935834,5069,auto_confirmed,""
İmişli,Azerbaijan. Birinci Dasta,4jgfntp8n9aiyexfb20okjol5,İmişli,Azerbaijan,Premyer Liqa,exact_name,100,70.0842924055,1403,auto_confirmed,""
İrəvan,Azerbaijan. Birinci Dasta,"","","","",unmapped,,,,unmapped,""
Şahdağ,Azerbaijan. Birinci Dasta,bi0s9yfdtf1wnyjzm2a3evkpa,Şahdağ,Azerbaijan,Birinci Dasta,exact_name,100,60.3442969301,3825,auto_confirmed,""
Şimal,Azerbaijan. Birinci Dasta,6n3r8q9qnj3v4vgalzu4s8e8k,Şimal,Azerbaijan,Birinci Dasta,exact_name,100,52.36996507,6686,auto_confirmed,""
Araz,Azerbaijan. Premyer Liqa,7a2tbo29mvdo54wusbqp6i0wg,Araz Naxçıvan,Azerbaijan,Premyer Liqa,exact_name,100,71.2700886255,1242,auto_confirmed,""
Kapaz,Azerbaijan. Premyer Liqa,bvajvatode80d4lx90fl86hi,Kapaz,Azerbaijan,Premyer Liqa,exact_name,100,67.1714695507,1958,auto_confirmed,""
Karvan,Azerbaijan. Premyer Liqa,bcxl71nh9okv94c8mpuwkm1mg,Karvan,Azerbaijan,Birinci Dasta,exact_name,100,61.3218915687,3529,auto_confirmed,""
Neftchi,Azerbaijan. Premyer Liqa,ds29ggecv78whcgnr2neij683,Neftchi,Uzbekistan,Super League,exact_name,100,74.5054331123,813,auto_confirmed,""
Qabala,Azerbaijan. Premyer Liqa,"","","","",unmapped,,,,unmapped,""
Qarabag,Azerbaijan. Premyer Liqa,dz0fc3304a30bzm9lht0bhpqt,Qarabağ,Azerbaijan,Premyer Liqa,exact_name,100,82.208904702,219,auto_confirmed,""
Sabah,Azerbaijan. Premyer Liqa,evvhmz4bq4dq1v9llaev1j97u,Sabah,Azerbaijan,Premyer Liqa,exact_name,100,83.5307002123,150,auto_confirmed,""
Sabail,Azerbaijan. Premyer Liqa,"","","","",unmapped,,,,unmapped,""
Shafa Baku,Azerbaijan. Premyer Liqa,"","","","",unmapped,,,,unmapped,""
Shamakhi FK,Azerbaijan. Premyer Liqa,"","","","",unmapped,,,,unmapped,""
Sumqayıt,Azerbaijan. Premyer Liqa,4toevlhgg3kvh24y5b2qob6jy,Sumqayıt,Azerbaijan,Premyer Liqa,exact_name,100,69.2360205976,1538,auto_confirmed,""
Turan-T,Azerbaijan. Premyer Liqa,"","","","",unmapped,,,,unmapped,""
Zira,Azerbaijan. Premyer Liqa,8oxa17y70f9muh5ytwsbikqeq,Zira,Azerbaijan,Premyer Liqa,exact_name,100,77.0648219141,562,auto_confirmed,""
İmişli,Azerbaijan. Premyer Liqa,4jgfntp8n9aiyexfb20okjol5,İmişli,Azerbaijan,Premyer Liqa,exact_name,100,70.0842924055,1403,auto_confirmed,""
Anderlecht II,Belgium. Challenger Pro League,d011rbp4etj5styzfmpd7wa38,Anderlecht II,Belgium,Challenger Pro League,exact_name,100,65.5868571911,2328,auto_confirmed,""
Beerschot VA,Belgium. Challenger Pro League,"","","","",unmapped,,,,unmapped,""
Club Brugge II,Belgium. Challenger Pro League,5ukcnyjjogw7wlb0lrgwg8siy,Club Brugge II,Belgium,Challenger Pro League,exact_name,100,66.8553534292,2027,auto_confirmed,""
Deinze,Belgium. Challenger Pro League,"","","","",unmapped,,,,unmapped,""
Dender,Belgium. Challenger Pro League,4dtif7outbuivua8umbwegoo5,Dender,Belgium,Challenger Pro League,exact_name,100,75.6170630245,695,auto_confirmed,""
