wyscout_team,wyscout_competition,opta_contestant_id,opta_team,opta_country,opta_league,match_method,match_score,rating,rank,review_status,notes
San Antonio,Ecuador. Liga Pro Serie B,cptxo7ytrql01nuxr7qt3ut5g,San Antonio,Ecuador,Liga Pro Serie B,exact_name,100,69.9518859514,1425,auto_confirmed,""
Vargas Torres,Ecuador. Liga Pro Serie B,bnt191a6dmrdph8f4nvx6xo4q,Vargas Torres,Ecuador,"",exact_name,100,71.4496985029,1215,auto_confirmed,""
Vinotinto de Ecuador,Ecuador. Liga Pro Serie B,3a5ewydj1isw3lepwoafns74k,Vinotinto de Ecuador,Ecuador,Liga Pro Serie B,exact_name,100,74.2582176737,845,auto_confirmed,""
Abu Qair Semad,Egypt. Premier League,9g4d0xv0srveu6ukr5069ot7l,Abu Qair Semad,Egypt,Premier League,exact_name,100,71.2095530402,1254,auto_confirmed,""
Al Ahly,Egypt. Premier League,1q2hx9pw8c7x88utqunk4e6xl,Al Ahly,Egypt,Premier League,exact_name,100,82.2058023879,220,auto_confirmed,""
Al Ittihad,Egypt. Premier League,87zdolahphujsbgcu4wyyew7n,Al Ittihad,Egypt,Premier League,exact_name,100,73.4564318445,950,auto_confirmed,""
Al Masry,Egypt. Premier League,8fsjv45nwdskm2w1o5iddnwck,Al Masry,Egypt,Premier League,exact_name,100,75.5101796887,706,auto_confirmed,""
Al Mokawloon,Egypt. Premier League,rujv815dna8z56ptdquzovlu,Al Mokawloon,Egypt,Premier League,exact_name,100,74.0746839558,874,auto_confirmed,""
Aswan FC,Egypt. Premier League,e0bxmxjdt67tjpr5id1z8xoh6,Aswan,Egypt,"",exact_name,100,61.4788807941,3486,auto_confirmed,""
Asyut Petrol,Egypt. Premier League,8y48y7oigo67a3fgsvik3y8d2,Asyut Petrol,Egypt,Premier League,exact_name,100,70.1887147067,1384,auto_confirmed,""
Baladiyyat Al Mehalla,Egypt. Premier League,bjkppvn46ysjs3tbwao8k2waa,Baladiyyat Al Mehalla,Egypt,Second Division A,exact_name,100,64.3811361173,2641,auto_confirmed,""
Ceramica,Egypt. Premier League,"","","","",unmapped,,,,unmapped,""
ENPPI,Egypt. Premier League,2t0cc3y6kaifvrgnp48nf9011,ENPPI,Egypt,Premier League,exact_name,100,74.0886695025,873,auto_confirmed,""
El Daklyeh,Egypt. Premier League,"","","","",unmapped,,,,unmapped,""
El Geish,Egypt. Premier League,22uhz0spcrm9f2ew7fyk9lgvl,El Gaish,Egypt,Premier League,fuzzy_country,87.5,72.0339097348,1135,needs_review,""
El Gounah,Egypt. Premier League,cb5ih2ull94awko6tr4mpwkiz,El Gouna,Egypt,Premier League,fuzzy_country,94.12,72.4548886354,1083,needs_review,""
Ghazl El Mehalla,Egypt. Premier League,92b76dpzspmwf6jr0khodmxi4,Ghazl El Mahalla,Egypt,Premier League,fuzzy_country,93.75,70.6223267027,1316,needs_review,""
Haras El Hodood,Egypt. Premier League,7j8kq66frwp7bu4kviuwbet97,Haras El Hodood,Egypt,Second Division A,exact_name,100,69.6621616016,1475,auto_confirmed,""
Ismaily,Egypt. Premier League,b79t25o1zj01kz3rqudr7q5v4,Ismaily,Egypt,Second Division A,exact_name,100,65.8874187427,2257,auto_confirmed,""
Kahraba Ismailia,Egypt. Premier League,5zlswi3fqki2d9z6tbp9xjmzm,Kahraba Ismailia,Egypt,Second Division A,exact_name,100,69.2055642502,1542,auto_confirmed,""
Modern Future,Egypt. Premier League,"","","","",unmapped,,,,unmapped,""
Modern Sport,Egypt. Premier League,"","","","",unmapped,,,,unmapped,""
National Bank of Egypt,Egypt. Premier League,acok6a5p0a2menyjj5ufyeooa,National Bank of Egypt,Egypt,Premier League,exact_name,100,75.1387261224,757,auto_confirmed,""
Olympic El Qanah,Egypt. Premier League,"","","","",unmapped,,,,unmapped,""
Petrojet,Egypt. Premier League,bb1dz5zsbd7x9ezu8yrtbzhrj,Petrojet,Egypt,Premier League,exact_name,100,73.9509079092,895,auto_confirmed,""
Pharco,Egypt. Premier League,ac28s7fw8w1z6ewv4z67z4b8p,Pharco,Egypt,Second Division A,exact_name,100,69.1701674865,1544,auto_confirmed,""
Pyramids,Egypt. Premier League,a5hh43fi88rchrm37263600hu,Pyramids,Egypt,Premier League,exact_name,100,82.5364063152,191,auto_confirmed,""
Smouha,Egypt. Premier League,8znm0r64soyw68izrhpaybr7h,Smouha,Egypt,Premier League,exact_name,100,72.1595473639,1119,auto_confirmed,""
Wadi Degla,Egypt. Premier League,7lsa4shved5oswsk8y4w0zk62,Wadi Degla,Egypt,Premier League,exact_name,100,74.59628357,805,auto_confirmed,""
ZED FC,Egypt. Premier League,7x64g9rxb1npef8weblrwr312,ZED,Egypt,Premier League,exact_name,100,74.118388488,865,auto_confirmed,""
Zamalek,Egypt. Premier League,2c1lvho9eqtqfqf4t3cv0f237,Zamalek,Egypt,Premier League,exact_name,100,79.1459727555,398,auto_confirmed,""
Birmingham City,England. Championship,8kreqtde5jdktcib0kg7dknac,Birmingham City,England,Championship,exact_name,100,82.2601181154,212,auto_confirmed,""
Blackburn Rovers,England. Championship,ep3im6aygoatju4u3ws8v3mog,Blackburn Rovers,England,Championship,exact_name,100,79.679613461,356,auto_confirmed,""
Blackpool,England. Championship,f1ni8k09kpdcwmkasi69rl0bz,Blackpool,England,League One,exact_name,100,73.6987549668,923,auto_confirmed,""
Bolton Wanderers,England. Championship,69t8imcdaqlgfbds2p58596my,Bolton Wanderers,England,Championship,exact_name,100,78.8131157683,420,auto_confirmed,""
Bristol City,England. Championship,c5485h5qulh4l0k0py5b9xug1,Bristol City,England,Championship,exact_name,100,80.3983106556,311,auto_confirmed,""
Burnley,England. Championship,64bxxwu2mv2qqlv0monbkj1om,Burnley,England,Championship,exact_name,100,80.9181045266,285,auto_confirmed,""
Cardiff City,England. Championship,3ash57c0q2tgok6gvzbsta93,Cardiff City,Wales,Championship,exact_name,100,78.8012532402,421,auto_confirmed,""
Charlton Athletic,England. Championship,2ezfenuwk3y65p8jdbj55xqt0,Charlton Athletic,England,Championship,exact_name,100,78.3263529099,453,auto_confirmed,""
Coventry City,England. Championship,dacoc20k0n3fxu4zek8wufmko,Coventry City,England,Premier League,exact_name,100,89.0478461297,42,auto_confirmed,""
Derby County,England. Championship,3ptd7zlc5isrongig0wij2id4,Derby County,England,Championship,exact_name,100,79.7734297559,351,auto_confirmed,""
Huddersfield Town,England. Championship,5n5baro467i8s8efkra3nhgux,Huddersfield Town,England,League One,exact_name,100,77.3731136606,541,auto_confirmed,""
Hull City,England. Championship,f0figafm2v9h8ofo6slajj7xf,Hull City,England,Premier League,exact_name,100,89.8558849517,35,auto_confirmed,""
Ipswich Town,England. Championship,8b523ujgl21tbc01me65q0aoh,Ipswich Town,England,Premier League,exact_name,100,89.7429967297,37,auto_confirmed,""
Leeds United,England. Championship,48gk2hpqtsl6p9sx9kjhaydq4,Leeds United,England,Premier League,exact_name,100,92.0342129714,18,auto_confirmed,""
Leicester City,England. Championship,avxknfz4f6ob0rv9dbnxdzde0,Leicester City,England,League One,exact_name,100,76.5270430575,610,auto_confirmed,""
Lincoln City,England. Championship,b3vbyitzi3nrw9ehj1eoko219,Lincoln City,England,Championship,exact_name,100,80.6632769,295,auto_confirmed,""
Luton Town,England. Championship,aksa492u5hf93giwcn2zt1nzz,Luton Town,England,League One,exact_name,100,77.3322665545,545,auto_confirmed,""
Middlesbrough,England. Championship,cq0jd5ztepqjjeikk5trb15vr,Middlesbrough,England,Championship,exact_name,100,84.9742823139,106,auto_confirmed,""
Millwall,England. Championship,40d2qd8lr1tgsvmg5l1fzaf4o,Millwall,England,Championship,exact_name,100,82.8927058544,180,auto_confirmed,""
Norwich City,England. Championship,suz80crpy3anixyzccmu6jzp,Norwich City,England,Championship,exact_name,100,82.2510600399,215,auto_confirmed,""
Oxford United,England. Championship,ahm0t06rup1bkd9z0mxl2lmph,Oxford United,England,League One,exact_name,100,77.2544106206,550,auto_confirmed,""
Plymouth Argyle,England. Championship,5g1fnexeromjl0lvnxp8hpnhi,Plymouth Argyle,England,League One,exact_name,100,78.6006276891,437,auto_confirmed,""
Portsmouth,England. Championship,80jtkz2echk6yyyb9e2595cxr,Portsmouth,England,Championship,exact_name,100,79.9624459281,335,auto_confirmed,""
Preston North End,England. Championship,5kq4izdz28qjaxoa6ujclwghj,Preston North End,England,Championship,exact_name,100,77.4537583415,532,auto_confirmed,""
Queens Park Rangers,England. Championship,72nmbktwvcj3wizfp37yjf0dp,Queens Park Rangers,England,Championship,exact_name,100,80.5998271699,303,auto_confirmed,""
Reading,England. Championship,egm6z8hhksfg8f6a49jigczxh,Reading,England,League One,exact_name,100,76.3223737317,628,auto_confirmed,""
Rotherham United,England. Championship,6m5s30n9ej0dqfk1hfyrlkhdw,Rotherham United,England,League Two,exact_name,100,70.8404655367,1300,auto_confirmed,""
Sheffield United,England. Championship,bws31egwjda253q9lvykgnivo,Sheffield United,England,Championship,exact_name,100,80.6507265393,297,auto_confirmed,""
Sheffield Wednesday,England. Championship,1musyruv2ufjrjnj6gvdbr8kt,Sheffield Wednesday,England,League One,exact_name,100,76.2074572774,641,auto_confirmed,""
Southampton,England. Championship,d5ydtvt96bv7fq04yqm2w2632,Southampton,England,Championship,exact_name,100,85.1628919644,98,auto_confirmed,""
Stoke City,England. Championship,4qioq44vcv619vnyy2rpovk4e,Stoke City,England,Championship,exact_name,100,79.2028007851,395,auto_confirmed,""
Sunderland,England. Championship,1r3545b2dzan8yqa80gtmcjch,Sunderland,England,Premier League,exact_name,100,90.7070812059,29,auto_confirmed,""
Swansea City,England. Championship,410jti6axb01yhvbc0axsp8li,Swansea City,Wales,Championship,exact_name,100,82.9658468716,178,auto_confirmed,""
Watford,England. Championship,4t83rqbdbekinxl5fz2ygsyta,Watford,England,Championship,exact_name,100,77.7263928787,507,auto_confirmed,""
West Bromwich Albion,England. Championship,d1lhefp805y0rcbjqkpu4fq0n,West Bromwich Albion,England,Championship,exact_name,100,81.471240709,248,auto_confirmed,""
West Ham United,England. Championship,4txjdaqveermfryvbfrr4taf7,West Ham United,England,Championship,exact_name,100,86.0824218202,73,auto_confirmed,""
Wigan Athletic,England. Championship,dmypntcdsl5w8w8pcqs0b8mpj,Wigan Athletic,England,League One,exact_name,100,72.5220361031,1069,auto_confirmed,""
Wolverhampton Wanderers,England. Championship,b9si1jn1lfxfund69e9ogcu2n,Wolverhampton Wanderers,England,Championship,exact_name,100,84.9499220948,109,auto_confirmed,""
Wrexham,England. Championship,206vnsjv8ho5kpf88y0u2gaic,Wrexham,Wales,Championship,exact_name,100,81.9029950788,230,auto_confirmed,""
AFC Wimbledon,England. League One,7sck2yj98lv9ogljofza0c7f9,AFC Wimbledon,England,League One,exact_name,100,71.4790905282,1209,auto_confirmed,""
Accrington Stanley,England. League One,5qwskbjpa17fvmtuu5qijy7cz,Accrington Stanley,England,League Two,exact_name,100,65.7873315499,2276,auto_confirmed,""
Barnsley,England. League One,9db4t34qy4owglhvvgwf5l22i,Barnsley,England,League One,exact_name,100,72.7025740239,1049,auto_confirmed,""
Birmingham City,England. League One,8kreqtde5jdktcib0kg7dknac,Birmingham City,England,Championship,exact_name,100,82.2601181154,212,auto_confirmed,""
Blackpool,England. League One,f1ni8k09kpdcwmkasi69rl0bz,Blackpool,England,League One,exact_name,100,73.6987549668,923,auto_confirmed,""
Bolton Wanderers,England. League One,69t8imcdaqlgfbds2p58596my,Bolton Wanderers,England,Championship,exact_name,100,78.8131157683,420,auto_confirmed,""
Bradford City,England. League One,2b5k2yusdx2ctd5cdv739p3il,Bradford City,England,League One,exact_name,100,76.9178185631,575,auto_confirmed,""
Bristol Rovers,England. League One,5pfqedkme2kabtqhkln35pf3l,Bristol Rovers,England,League Two,exact_name,100,69.6691357703,1474,auto_confirmed,""
Bromley,England. League One,b6fvcpudsv2xhd8jd9ste749x,Bromley,England,League One,exact_name,100,71.2046180257,1255,auto_confirmed,""
Burton Albion,England. League One,8mbtyq0has0uu0565fm9t5cdo,Burton Albion,England,League One,exact_name,100,73.4945198628,945,auto_confirmed,""
Cambridge United,England. League One,dmz37633qbsvl7gncq5s51yjw,Cambridge United,England,League One,exact_name,100,74.3952464928,827,auto_confirmed,""
Cardiff City,England. League One,3ash57c0q2tgok6gvzbsta93,Cardiff City,Wales,Championship,exact_name,100,78.8012532402,421,auto_confirmed,""
Carlisle United,England. League One,4wqa3vdd3owvzbdpmh91uvvhp,Carlisle United,England,National League,exact_name,100,64.0026901273,2767,auto_confirmed,""
Charlton Athletic,England. League One,2ezfenuwk3y65p8jdbj55xqt0,Charlton Athletic,England,Championship,exact_name,100,78.3263529099,453,auto_confirmed,""
Cheltenham Town,England. League One,fvr504m6gaxsfmtx4fwm7iq1,Cheltenham Town,England,League Two,exact_name,100,67.930850431,1795,auto_confirmed,""
Crawley Town,England. League One,41pv4kcoqzdkswdzqhll8ellb,Crawley Town,England,League Two,exact_name,100,65.2336054159,2412,auto_confirmed,""
Derby County,England. League One,3ptd7zlc5isrongig0wij2id4,Derby County,England,Championship,exact_name,100,79.7734297559,351,auto_confirmed,""
Doncaster Rovers,England. League One,6dryhu9wer42nt1dxoophpk96,Doncaster Rovers,England,League One,exact_name,100,74.5972988891,804,auto_confirmed,""
Exeter City,England. League One,dv9l02o316cd9hbkxaho2u12f,Exeter City,England,League Two,exact_name,100,70.1988396532,1379,auto_confirmed,""
Fleetwood Town,England. League One,8rfydplrc9ki0sirqi0drcybk,Fleetwood Town,England,League Two,exact_name,100,69.0818146439,1562,auto_confirmed,""
Forest Green Rovers,England. League One,17zuelixesst1z59fwcix2dil,Forest Green Rovers,England,National League,exact_name,100,61.9602023448,3366,auto_confirmed,""
Huddersfield Town,England. League One,5n5baro467i8s8efkra3nhgux,Huddersfield Town,England,League One,exact_name,100,77.3731136606,541,auto_confirmed,""
Ipswich Town,England. League One,8b523ujgl21tbc01me65q0aoh,Ipswich Town,England,Premier League,exact_name,100,89.7429967297,37,auto_confirmed,""
Leicester City,England. League One,avxknfz4f6ob0rv9dbnxdzde0,Leicester City,England,League One,exact_name,100,76.5270430575,610,auto_confirmed,""
Leyton Orient,England. League One,2fhm98swvvbztf9cy67juhpas,Leyton Orient,England,League One,exact_name,100,73.1094275943,1000,auto_confirmed,""
Lincoln City,England. League One,b3vbyitzi3nrw9ehj1eoko219,Lincoln City,England,Championship,exact_name,100,80.6632769,295,auto_confirmed,""
Luton Town,England. League One,aksa492u5hf93giwcn2zt1nzz,Luton Town,England,League One,exact_name,100,77.3322665545,545,auto_confirmed,""
Mansfield Town,England. League One,4hcdmgl41o4blqpbeelu56h7y,Mansfield Town,England,League One,exact_name,100,75.8329769555,675,auto_confirmed,""
Milton Keynes Dons,England. League One,8w89tsles26jm12aoelwvlttt,MK Dons,England,League One,exact_name,100,73.1968751824,986,auto_confirmed,""
Morecambe,England. League One,8xeuwzxnm7hdlbjjuezgfkz3w,Morecambe,England,National League N / S,exact_name,100,54.5154168942,5788,auto_confirmed,""
Northampton Town,England. League One,761h1nqgu3ogxgvp8ubb71r00,Northampton Town,England,League Two,exact_name,100,68.3733654184,1713,auto_confirmed,""
Notts County,England. League One,d3mskb8nk3afyi3tn0gt8kwh8,Notts County,England,League One,exact_name,100,73.4633932799,948,auto_confirmed,""
Oxford United,England. League One,ahm0t06rup1bkd9z0mxl2lmph,Oxford United,England,League One,exact_name,100,77.2544106206,550,auto_confirmed,""
Peterborough United,England. League One,5jjqm8h6qm1w4s5f93uubhdrj,Peterborough United,England,League One,exact_name,100,72.0604743583,1131,auto_confirmed,""
Plymouth Argyle,England. League One,5g1fnexeromjl0lvnxp8hpnhi,Plymouth Argyle,England,League One,exact_name,100,78.6006276891,437,auto_confirmed,""
Port Vale,England. League One,ejm092fnt9zoxbpuklzd52ji8,Port Vale,England,League Two,exact_name,100,70.1599573662,1390,auto_confirmed,""
Portsmouth,England. League One,80jtkz2echk6yyyb9e2595cxr,Portsmouth,England,Championship,exact_name,100,79.9624459281,335,auto_confirmed,""
Reading,England. League One,egm6z8hhksfg8f6a49jigczxh,Reading,England,League One,exact_name,100,76.3223737317,628,auto_confirmed,""
Rotherham United,England. League One,6m5s30n9ej0dqfk1hfyrlkhdw,Rotherham United,England,League Two,exact_name,100,70.8404655367,1300,auto_confirmed,""
Sheffield Wednesday,England. League One,1musyruv2ufjrjnj6gvdbr8kt,Sheffield Wednesday,England,League One,exact_name,100,76.2074572774,641,auto_confirmed,""
Shrewsbury Town,England. League One,82kapkjwonlv9j1ui0ytv5sii,Shrewsbury Town,England,League Two,exact_name,100,66.4500455598,2123,auto_confirmed,""
Stevenage,England. League One,6xhqd6it53k2s5n7veo817ga4,Stevenage,England,League One,exact_name,100,75.9699211322,658,auto_confirmed,""
Stockport County,England. League One,5adikbrse2tjc3zthxrx8ic2k,Stockport County,England,League One,exact_name,100,78.0974164683,474,auto_confirmed,""
Wigan Athletic,England. League One,dmypntcdsl5w8w8pcqs0b8mpj,Wigan Athletic,England,League One,exact_name,100,72.5220361031,1069,auto_confirmed,""
Wrexham,England. League One,206vnsjv8ho5kpf88y0u2gaic,Wrexham,Wales,Championship,exact_name,100,81.9029950788,230,auto_confirmed,""
Wycombe Wanderers,England. League One,jv3jh5m5t7qy5t37vwwmnj16,Wycombe Wanderers,England,League One,exact_name,100,76.1683354264,645,auto_confirmed,""
AFC Wimbledon,England. League Two,7sck2yj98lv9ogljofza0c7f9,AFC Wimbledon,England,League One,exact_name,100,71.4790905282,1209,auto_confirmed,""
Accrington Stanley,England. League Two,5qwskbjpa17fvmtuu5qijy7cz,Accrington Stanley,England,League Two,exact_name,100,65.7873315499,2276,auto_confirmed,""
Barnet,England. League Two,azw1s2jssnjcsj170y9j0feqp,Barnet,England,League Two,exact_name,100,72.6458951776,1056,auto_confirmed,""
Barrow,England. League Two,2h0f9b45mwop10akb6bp7qx3,Barrow,England,National League,exact_name,100,60.8981291844,3658,auto_confirmed,""
Bradford City,England. League Two,2b5k2yusdx2ctd5cdv739p3il,Bradford City,England,League One,exact_name,100,76.9178185631,575,auto_confirmed,""
Bristol Rovers,England. League Two,5pfqedkme2kabtqhkln35pf3l,Bristol Rovers,England,League Two,exact_name,100,69.6691357703,1474,auto_confirmed,""
Bromley,England. League Two,b6fvcpudsv2xhd8jd9ste749x,Bromley,England,League One,exact_name,100,71.2046180257,1255,auto_confirmed,""
Cambridge United,England. League Two,dmz37633qbsvl7gncq5s51yjw,Cambridge United,England,League One,exact_name,100,74.3952464928,827,auto_confirmed,""
Carlisle United,England. League Two,4wqa3vdd3owvzbdpmh91uvvhp,Carlisle United,England,National League,exact_name,100,64.0026901273,2767,auto_confirmed,""
Cheltenham Town,England. League Two,fvr504m6gaxsfmtx4fwm7iq1,Cheltenham Town,England,League Two,exact_name,100,67.930850431,1795,auto_confirmed,""
Chesterfield,England. League Two,2zyk4fq2f0kh5p366q9y62vny,Chesterfield,England,League Two,exact_name,100,71.5512035476,1198,auto_confirmed,""
Colchester United,England. League Two,crpd0wug26fg7skfzmf11x1k2,Colchester United,England,League Two,exact_name,100,68.7113212256,1641,auto_confirmed,""
Crawley Town,England. League Two,41pv4kcoqzdkswdzqhll8ellb,Crawley Town,England,League Two,exact_name,100,65.2336054159,2412,auto_confirmed,""
Crewe Alexandra,England. League Two,9ze1c55gavzeg6vw37ca1banb,Crewe Alexandra,England,League Two,exact_name,100,68.3442648674,1717,auto_confirmed,""
Doncaster Rovers,England. League Two,6dryhu9wer42nt1dxoophpk96,Doncaster Rovers,England,League One,exact_name,100,74.5972988891,804,auto_confirmed,""
Exeter City,England. League Two,dv9l02o316cd9hbkxaho2u12f,Exeter City,England,League Two,exact_name,100,70.1988396532,1379,auto_confirmed,""
Fleetwood Town,England. League Two,8rfydplrc9ki0sirqi0drcybk,Fleetwood Town,England,League Two,exact_name,100,69.0818146439,1562,auto_confirmed,""
Forest Green Rovers,England. League Two,17zuelixesst1z59fwcix2dil,Forest Green Rovers,England,National League,exact_name,100,61.9602023448,3366,auto_confirmed,""
Gillingham,England. League Two,2597fv0oiboak9jyryf3gt39g,Gillingham,England,League Two,exact_name,100,67.4615774144,1893,auto_confirmed,""
Grimsby Town,England. League Two,6ipyteigr21t78l6fro3ig10j,Grimsby Town,England,League Two,exact_name,100,72.3257360388,1091,auto_confirmed,""
Harrogate Town,England. League Two,bkzx43uwodxey51ivfvbqf37g,Harrogate Town,England,National League,exact_name,100,62.9847230737,3059,auto_confirmed,""
Hartlepool United,England. League Two,47loqs7917u2rbhl1cqdupbre,Hartlepool United,England,National League,exact_name,100,58.4283478974,4451,auto_confirmed,""
Leyton Orient,England. League Two,2fhm98swvvbztf9cy67juhpas,Leyton Orient,England,League One,exact_name,100,73.1094275943,1000,auto_confirmed,""
Mansfield Town,England. League Two,4hcdmgl41o4blqpbeelu56h7y,Mansfield Town,England,League One,exact_name,100,75.8329769555,675,auto_confirmed,""
Milton Keynes Dons,England. League Two,8w89tsles26jm12aoelwvlttt,MK Dons,England,League One,exact_name,100,73.1968751824,986,auto_confirmed,""
Morecambe,England. League Two,8xeuwzxnm7hdlbjjuezgfkz3w,Morecambe,England,National League N / S,exact_name,100,54.5154168942,5788,auto_confirmed,""
Newport County,England. League Two,bewbbriuwh3i7a2zn19e6d0v4,Newport County,Wales,League Two,exact_name,100,65.8217365758,2269,auto_confirmed,""
Northampton Town,England. League Two,761h1nqgu3ogxgvp8ubb71r00,Northampton Town,England,League Two,exact_name,100,68.3733654184,1713,auto_confirmed,""
Notts County,England. League Two,d3mskb8nk3afyi3tn0gt8kwh8,Notts County,England,League One,exact_name,100,73.4633932799,948,auto_confirmed,""
Oldham Athletic,England. League Two,5oj03g835apcc9g551do5vm5e,Oldham Athletic,England,League Two,exact_name,100,69.2899898772,1528,auto_confirmed,""
Port Vale,England. League Two,ejm092fnt9zoxbpuklzd52ji8,Port Vale,England,League Two,exact_name,100,70.1599573662,1390,auto_confirmed,""
Rochdale,England. League Two,dqitrs0w52z0p9f4t07z0aqzw,Rochdale,England,League Two,exact_name,100,64.7120337627,2531,auto_confirmed,""
Rotherham United,England. League Two,6m5s30n9ej0dqfk1hfyrlkhdw,Rotherham United,England,League Two,exact_name,100,70.8404655367,1300,auto_confirmed,""
Salford City,England. League Two,2dakjegmrc2cxx2hqq5wzegt,Salford City,England,League Two,exact_name,100,70.2419245628,1372,auto_confirmed,""
Shrewsbury Town,England. League Two,82kapkjwonlv9j1ui0ytv5sii,Shrewsbury Town,England,League Two,exact_name,100,66.4500455598,2123,auto_confirmed,""
Stevenage,England. League Two,6xhqd6it53k2s5n7veo817ga4,Stevenage,England,League One,exact_name,100,75.9699211322,658,auto_confirmed,""
Stockport County,England. League Two,5adikbrse2tjc3zthxrx8ic2k,Stockport County,England,League One,exact_name,100,78.0974164683,474,auto_confirmed,""
Sutton United,England. League Two,868eewpas8ksqiyprnczkpran,Sutton United,England,National League,exact_name,100,58.1396013115,4552,auto_confirmed,""
Swindon Town,England. League Two,9ws3x82yqn7svjq6onvtunpst,Swindon Town,England,League Two,exact_name,100,68.6853805995,1648,auto_confirmed,""
Tranmere Rovers,England. League Two,9j48z9ohucqbzpneoghrgwevs,Tranmere Rovers,England,League Two,exact_name,100,65.8873852524,2258,auto_confirmed,""
Walsall,England. League Two,1tev1lioyfaxbk2uod5uekzyj,Walsall,England,League Two,exact_name,100,69.5783855371,1490,auto_confirmed,""
Wrexham,England. League Two,206vnsjv8ho5kpf88y0u2gaic,Wrexham,Wales,Championship,exact_name,100,81.9029950788,230,auto_confirmed,""
York City,England. League Two,9y62b5mmv41w75z8jiynbml,York City,England,League Two,exact_name,100,68.0314945083,1771,auto_confirmed,""
Arsenal,England. Premier League,4dsgumo7d4zupm2ugsvm4zm4d,Arsenal,England,Premier League,exact_name,100,100,1,auto_confirmed,""
Aston Villa,England. Premier League,b496gs285it6bheuikox6z9mj,Aston Villa,England,Premier League,exact_name,100,93.6683708356,10,auto_confirmed,""
Bournemouth,England. Premier League,1pse9ta7a45pi2w2grjim70ge,Bournemouth,England,Premier League,exact_name,100,91.9231518891,19,auto_confirmed,""
Brentford,England. Premier League,7yx5dqhhphyvfisohikodajhv,Brentford,England,Premier League,exact_name,100,92.8902724072,13,auto_confirmed,""
Brighton,England. Premier League,e5p0ehyguld7egzhiedpdnc3w,Brighton & Hove Albion,England,Premier League,exact_name,100,94.6907017231,7,auto_confirmed,""
Burnley,England. Premier League,64bxxwu2mv2qqlv0monbkj1om,Burnley,England,Championship,exact_name,100,80.9181045266,285,auto_confirmed,""
Chelsea,England. Premier League,9q0arba2kbnywth8bkxlhgmdr,Chelsea,England,Premier League,exact_name,100,93.4033633309,12,auto_confirmed,""
Coventry City,England. Premier League,dacoc20k0n3fxu4zek8wufmko,Coventry City,England,Premier League,exact_name,100,89.0478461297,42,auto_confirmed,""
Crystal Palace,England. Premier League,1c8m2ko0wxq1asfkuykurdr0y,Crystal Palace,England,Premier League,exact_name,100,90.5334606538,32,auto_confirmed,""
Everton,England. Premier League,ehd2iemqmschhj2ec0vayztzz,Everton,England,Premier League,exact_name,100,92.7043009634,16,auto_confirmed,""
Fulham,England. Premier League,hzqh7z0mdl3v7gwete66syxp,Fulham,England,Premier League,exact_name,100,89.9284782178,34,auto_confirmed,""
Hull City,England. Premier League,f0figafm2v9h8ofo6slajj7xf,Hull City,England,Premier League,exact_name,100,89.8558849517,35,auto_confirmed,""
Ipswich Town,England. Premier League,8b523ujgl21tbc01me65q0aoh,Ipswich Town,England,Premier League,exact_name,100,89.7429967297,37,auto_confirmed,""
Leeds United,England. Premier League,48gk2hpqtsl6p9sx9kjhaydq4,Leeds United,England,Premier League,exact_name,100,92.0342129714,18,auto_confirmed,""
Leicester City,England. Premier League,avxknfz4f6ob0rv9dbnxdzde0,Leicester City,England,League One,exact_name,100,76.5270430575,610,auto_confirmed,""
Liverpool,England. Premier League,c8h9bw1l82s06h77xxrelzhur,Liverpool,England,Premier League,exact_name,100,96.0166095453,5,auto_confirmed,""
Luton Town,England. Premier League,aksa492u5hf93giwcn2zt1nzz,Luton Town,England,League One,exact_name,100,77.3322665545,545,auto_confirmed,""
Manchester City,England. Premier League,a3nyxabgsqlnqfkeg41m6tnpp,Manchester City,England,Premier League,exact_name,100,98.8164963407,3,auto_confirmed,""
Manchester United,England. Premier League,6eqit8ye8aomdsrrq0hk3v7gh,Manchester United,England,Premier League,exact_name,100,94.0412114444,9,auto_confirmed,""
Newcastle United,England. Premier League,7vn2i2kd35zuetw6b38gw9jsz,Newcastle United,England,Premier League,exact_name,100,92.8798638913,14,auto_confirmed,""
Nottingham Forest,England. Premier League,1qtaiy11gswx327s0vkibf70n,Nottingham Forest,England,Premier League,exact_name,100,91.0174866618,27,auto_confirmed,""
Sheffield United,England. Premier League,bws31egwjda253q9lvykgnivo,Sheffield United,England,Championship,exact_name,100,80.6507265393,297,auto_confirmed,""
Southampton,England. Premier League,d5ydtvt96bv7fq04yqm2w2632,Southampton,England,Championship,exact_name,100,85.1628919644,98,auto_confirmed,""
Sunderland,England. Premier League,1r3545b2dzan8yqa80gtmcjch,Sunderland,England,Premier League,exact_name,100,90.7070812059,29,auto_confirmed,""
Tottenham Hotspur,England. Premier League,22doj4sgsocqpxw45h607udje,Tottenham Hotspur,England,Premier League,exact_name,100,91.1994078327,25,auto_confirmed,""
West Ham United,England. Premier League,4txjdaqveermfryvbfrr4taf7,West Ham United,England,Championship,exact_name,100,86.0824218202,73,auto_confirmed,""
Wolverhampton Wanderers,England. Premier League,b9si1jn1lfxfund69e9ogcu2n,Wolverhampton Wanderers,England,Championship,exact_name,100,84.9499220948,109,auto_confirmed,""
Alliance,Estonia. Esiliiga A,"","","","",unmapped,,,,unmapped,""
