wyscout_team,wyscout_competition
Łódzki KS,Poland. Ekstraklasa
Katowice,Poland. I Liga
Pogoń Grod. Mazowiecki,Poland. I Liga
Tychy 71,Poland. I Liga
Łódzki KS,Poland. I Liga
Canelas 2010,Portugal. Liga 3
Fontinhas,Portugal. Liga 3
Pêro Pinheiro,Portugal. Liga 3
Estrela Amadora,Portugal. Primeira Liga
Estrela Amadora,Portugal. Segunda Liga
Vilafranquense,Portugal. Segunda Liga
ACS Muscelul Campulung Elite,Romania. Liga II
AS FC Buzău,Romania. Liga II
ASU Poli,Romania. Liga II
Brașov Steagul Renaște,Romania. Liga II
CSM Satu Mare,Romania. Liga II
CSMS Iaşi,Romania. Liga II
Cetatea Suceava,Romania. Liga II
Focşani,Romania. Liga II
Gloria Popești-Leordeni,Romania. Liga II
Mioveni,Romania. Liga II
Poli Iaşi,Romania. Liga II
Ripensia Timişoara,Romania. Liga II
U Craiova 1948,Romania. Liga II
Unirea Constanța,Romania. Liga II
Unirea Ungheni,Romania. Liga II
Viitorul P. Targu Jiu,Romania. Liga II
Şcolar Reşiţa,Romania. Liga II
AS FC Buzău,Romania. Superliga
FCS Bucureşti,Romania. Superliga
Mioveni,Romania. Superliga
Poli Iaşi,Romania. Superliga
U Craiova 1948,Romania. Superliga
Khimki,Russia. Premier League
Al Akhdoud,Saudi Arabia. Division 1
Al Draih,Saudi Arabia. Division 1
Al Qaisoma,Saudi Arabia. Division 1
Al Ta'ee,Saudi Arabia. Division 1
Dhamk,Saudi Arabia. Division 1
Al Akhdoud,Saudi Arabia. Pro League
Al Draih,Saudi Arabia. Pro League
Al Feiha,Saudi Arabia. Pro League
Al Ta'ee,Saudi Arabia. Pro League
Dhamk,Saudi Arabia. Pro League
Bačka Topola,Serbia. Prva Liga
Javor Ivanjica,Serbia. Prva Liga
Mladost Novi Sad,Serbia. Prva Liga
Naftagas,Serbia. Prva Liga
Priboj,Serbia. Prva Liga
RFK Novi Sad,Serbia. Prva Liga
Rad Beograd,Serbia. Prva Liga
Radnički Sr. Mitrovica,Serbia. Prva Liga
Čajetina,Serbia. Prva Liga
Bačka Topola,Serbia. Super Liga
Javor Ivanjica,Serbia. Super Liga
Mladost Novi Sad,Serbia. Super Liga
Lokomotíva Zvolen,Slovakia. 2. liga
Petržalka Akadémia,Slovakia. 2. liga
Slavoj Trebišov,Slovakia. 2. liga
DAC,Slovakia. Niké Liga
AŠK Bravo,Slovenia. 1. SNL
NŠ Drava,Slovenia. 2. SNL
Cape Town,South Africa. PSL
Royal AM,South Africa. PSL
Siwelele Football Club,South Africa. PSL
SuperSport United,South Africa. PSL
Celta Fortuna,Spain. Segunda División
Dalkurd,Sweden. Superettan
United Nordic,Sweden. Superettan
Rejiche,Tunisia. Ligue 1
Bodrumspor,Türkiye. 1. Lig
Manisa F.K.,Türkiye. 1. Lig
Tuzlaspor,Türkiye. 1. Lig
Bodrumspor,Türkiye. Süper Lig
Druzhba Myrivka,Ukraine. Druha Liga
FC Metalist 1925 II,Ukraine. Druha Liga
FK Revera 1908 Ivano-Frankivsk,Ukraine. Druha Liga
Karpaty II,Ukraine. Druha Liga
Khust City,Ukraine. Druha Liga
Kremin II,Ukraine. Druha Liga
Nyva Buzova,Ukraine. Druha Liga
Penuel Kryvyi Rih,Ukraine. Druha Liga
Rebel Kyiv,Ukraine. Druha Liga
Rubikon Kiev,Ukraine. Druha Liga
Rukh Lviv II,Ukraine. Druha Liga
VAST,Ukraine. Druha Liga
Vorskla II,Ukraine. Druha Liga
Zvyahel,Ukraine. Druha Liga
Feniks Mariupol,Ukraine. Persha Liga
Khust City,Ukraine. Persha Liga
Kremin,Ukraine. Persha Liga
Minaj,Ukraine. Persha Liga
Nyva Buzova,Ukraine. Persha Liga
Skoruk Tomakivka,Ukraine. Persha Liga
Dnipro-1,Ukraine. VBET League
Epitsentr Dunayivtsi,Ukraine. VBET League
Lviv,Ukraine. VBET League
Minaj,Ukraine. VBET League
Veres,Ukraine. VBET League
Torque,Uruguay. Primera División
Surkhon,Uzbekistan. Super League
Inter de Barinas,Venezuela. Primera División
Cambrian & Clydach,Wales. Premier League
Pontypridd Town AFC,Wales. Premier League
