scrape_enabled,competition_name,competition_country,tm_competition_id,tm_competition_name,tm_country,tm_season_id,wyscout_clubs,mapped_tm_clubs,mapped_tm_club_rate,difficulty,intensity,mapping_status,mapping_methods
False,Germany. 3. Liga,Germany,,,Germany,,20,19,0.95,6.963,6.963,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Japan. J2 League,Japan,,,Japan,,20,19,0.95,6.601,6.601,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Portugal. Segunda Liga,Portugal,,,Portugal,,18,17,0.9444,7.067,7.067,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Czech Republic. Chance Liga,Czech Republic,,,Czech Republic,,16,15,0.9375,7.336,7.336,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Serbia. Prva Liga,Serbia,,,Serbia,,16,15,0.9375,5.674,5.674,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Sweden. Allsvenskan,Sweden,,,Sweden,,16,15,0.9375,7.379,7.379,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Tunisia. Ligue 1,Tunisia,,,Tunisia,,16,15,0.9375,6.498,6.498,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Ukraine. Persha Liga,Ukraine,,,Ukraine,,16,15,0.9375,5.276,5.276,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Finland. Veikkausliiga,Finland,,,Finland,,13,12,0.9231,6.416,6.416,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Austria. Bundesliga,Austria,,,Austria,,12,11,0.9167,7.092,7.092,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Azerbaijan. Premyer Liqa,Azerbaijan,,,Azerbaijan,,12,11,0.9167,6.592,6.592,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Denmark. Superliga,Denmark,,,Denmark,,12,11,0.9167,7.614,7.614,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Iceland. Besta-deild karla,Iceland,,,Iceland,,12,11,0.9167,6.35,6.35,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Scotland. Premiership,Scotland,,,Scotland,,12,11,0.9167,7.153,7.153,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Slovakia. Niké Liga,Slovakia,,,Slovakia,,12,11,0.9167,6.623,6.623,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Spain. Segunda División,Spain,,,Spain,,22,20,0.9091,7.295,7.295,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Croatia. Superleague,Croatia,,,Croatia,,10,9,0.9,7.325,7.325,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Jordan. Pro League,Jordan,,,Jordan,,10,9,0.9,6.603,6.603,needs_transfermarkt_competition_id,dict|dict_unmatched
