competition_name,tm_competition_id,tm_competition_name,tm_country,tm_season_id,scrape_enabled,mapping_status,notes
Scotland. Premiership,,,Scotland,,False,needs_transfermarkt_competition_id,
Serbia. Prva Liga,,,Serbia,,False,needs_transfermarkt_competition_id,
Serbia. Super Liga,,,Serbia,,False,needs_transfermarkt_competition_id,
Slovakia. 2. liga,,,Slovakia,,False,needs_transfermarkt_competition_id,
Slovakia. Niké Liga,,,Slovakia,,False,needs_transfermarkt_competition_id,
Slovenia. 1. SNL,,,Slovenia,,False,needs_transfermarkt_competition_id,
Slovenia. 2. SNL,,,Slovenia,,False,needs_transfermarkt_competition_id,
South Africa. PSL,,,South Africa,,False,needs_transfermarkt_competition_id,
Spain. La Liga,,,Spain,,False,needs_transfermarkt_competition_id,
Spain. Segunda División,,,Spain,,False,needs_transfermarkt_competition_id,
Sweden. Allsvenskan,,,Sweden,,False,needs_transfermarkt_competition_id,
Sweden. Superettan,,,Sweden,,False,needs_transfermarkt_competition_id,
Switzerland. Challenge League,,,Switzerland,,False,needs_transfermarkt_competition_id,
Switzerland. Super League,,,Switzerland,,False,needs_transfermarkt_competition_id,
Tunisia. Ligue 1,,,Tunisia,,False,needs_transfermarkt_competition_id,
Türkiye. 1. Lig,,,Türkiye,,False,needs_transfermarkt_competition_id,
Türkiye. 2. Lig,,,Türkiye,,False,needs_transfermarkt_competition_id,
Türkiye. Süper Lig,,,Türkiye,,False,needs_transfermarkt_competition_id,
Ukraine. Druha Liga,,,Ukraine,,False,needs_transfermarkt_competition_id,
Ukraine. Persha Liga,,,Ukraine,,False,needs_transfermarkt_competition_id,
Ukraine. VBET League,,,Ukraine,,False,needs_transfermarkt_competition_id,
United States. MLS,,,United States,,False,needs_transfermarkt_competition_id,
Uruguay. Primera División,,,Uruguay,,False,needs_transfermarkt_competition_id,
Uzbekistan. Super League,,,Uzbekistan,,False,needs_transfermarkt_competition_id,
Venezuela. Primera División,,,Venezuela,,False,needs_transfermarkt_competition_id,
Wales. Premier League,,,Wales,,False,needs_transfermarkt_competition_id,
