competition_name,competition_country,team,tm_club_id,tm_club_name,method,score,tm_scraped_players,scrape_status
Austria. Bundesliga,Austria,Salzburg,409,Salzburg,dict,100,30,scraped
Austria. Bundesliga,Austria,Sturm Graz,122,Sturm Graz,dict,100,27,scraped
Austria. Bundesliga,Austria,WSG Swarovski Tirol,2446,WSG Tirol,dict,100,26,scraped
Austria. Bundesliga,Austria,Wolfsberger AC,4441,Wolfsberger AC,dict,100,30,scraped
Azerbaijan. Birinci Dasta,Azerbaijan,Asta Mingachevir,,,dict_unmatched,0,0,dict_unmatched
Azerbaijan. Birinci Dasta,Azerbaijan,Baku Sporting,336,Sporting,dict,100,29,scraped
Azerbaijan. Birinci Dasta,Azerbaijan,Cabrayil,,,dict_unmatched,0,0,dict_unmatched
Azerbaijan. Birinci Dasta,Azerbaijan,Difai Ağsu,,,dict_unmatched,0,0,dict_unmatched
Azerbaijan. Birinci Dasta,Azerbaijan,MOIK Baku,,,dict_unmatched,0,0,dict_unmatched
Azerbaijan. Birinci Dasta,Azerbaijan,Sabail,,,dict_unmatched,0,0,dict_unmatched
Azerbaijan. Birinci Dasta,Azerbaijan,Shafa Baku,,,dict_unmatched,0,0,dict_unmatched
Azerbaijan. Birinci Dasta,Azerbaijan,Zaqatala,,,dict_unmatched,0,0,dict_unmatched
Azerbaijan. Birinci Dasta,Azerbaijan,Şahdağ,,,dict_unmatched,0,0,dict_unmatched
Azerbaijan. Birinci Dasta,Azerbaijan,Şimal,,,dict_unmatched,0,0,dict_unmatched
Azerbaijan. Premyer Liqa,Azerbaijan,Araz,44360,Araz-Nakhchivan,dict,100,24,scraped
Azerbaijan. Premyer Liqa,Azerbaijan,Kapaz,7090,Kapaz PFK,dict,100,30,scraped
Azerbaijan. Premyer Liqa,Azerbaijan,Karvan,9796,Karvan,dict,100,22,scraped
Azerbaijan. Premyer Liqa,Azerbaijan,Neftchi,13306,Neftchi,dict,100,25,scraped
Azerbaijan. Premyer Liqa,Azerbaijan,Qabala,27843,Bala,dict,100,21,scraped
