competition_name,competition_country,team,tm_club_id,tm_club_name,method,score,tm_scraped_players,scrape_status
Colombia. Liga BetPlay,Colombia,Fortaleza,10870,Fortaleza,dict,100,29,scraped
Colombia. Liga BetPlay,Colombia,Junior,11854,Junior FC,dict,100,25,scraped
Colombia. Liga BetPlay,Colombia,La Equidad,17425,CD La Equidad,dict,100,25,scraped
Colombia. Liga BetPlay,Colombia,Llaneros,38628,Llaneros FC,dict,100,25,scraped
Colombia. Liga BetPlay,Colombia,Medellín,10093,Indep. Medellín,dict,100,26,scraped
Colombia. Liga BetPlay,Colombia,Millonarios,2350,Millonarios,dict,100,27,scraped
Colombia. Liga BetPlay,Colombia,Once Caldas,6984,Once Caldas,dict,100,25,scraped
Colombia. Liga BetPlay,Colombia,Santa Fe,7097,Unión Santa Fe,dict,100,24,scraped
Colombia. Liga BetPlay,Colombia,Tolima,10503,Deportes Tolima,dict,100,25,scraped
Colombia. Liga BetPlay,Colombia,Unión Magdalena,14680,Unión Magdalena,dict,100,30,scraped
Colombia. Liga BetPlay,Colombia,Águilas Doradas,47242,San Antonio FC,dict,100,28,scraped
Costa Rica. Primera División,Costa Rica,Alajuelense,6478,LD Alajuelense,dict,100,28,scraped
Costa Rica. Primera División,Costa Rica,Cartaginés,18577,Cartaginés,dict,100,30,scraped
Costa Rica. Primera División,Costa Rica,Deportivo Saprissa,4720,Saprissa,dict,100,32,scraped
Costa Rica. Primera División,Costa Rica,Guadalupe,18574,Guadalupe FC,dict,100,18,scraped
Costa Rica. Primera División,Costa Rica,Herediano,2677,Herediano,dict,100,27,scraped
Costa Rica. Primera División,Costa Rica,Municipal Liberia,49059,Municipal II,dict,100,13,scraped
Costa Rica. Primera División,Costa Rica,Puntarenas,9807,Puntarenas FC,dict,100,29,scraped
Costa Rica. Primera División,Costa Rica,Pérez Zeledón,8601,Pérez Zeledón,dict,100,30,scraped
Costa Rica. Primera División,Costa Rica,San Carlos,18659,AD San Carlos,dict,100,28,scraped
Costa Rica. Primera División,Costa Rica,Sporting FC,54649,Sporting FC,dict,100,27,scraped
Croatia. Superleague,Croatia,Dinamo Zagreb,419,Dinamo Zagreb,dict,100,36,scraped
Croatia. Superleague,Croatia,Gorica,24575,HNK Gorica,dict,100,31,scraped
Croatia. Superleague,Croatia,Hajduk Split,447,Hajduk Split,dict,100,37,scraped
Croatia. Superleague,Croatia,Istra 1961,,,dict_unmatched,0,0,dict_unmatched
Croatia. Superleague,Croatia,Lokomotiva Zagreb,11194,NK Lokomotiva,dict,100,41,scraped
Croatia. Superleague,Croatia,Osijek,327,NK Osijek,dict,100,31,scraped
Croatia. Superleague,Croatia,Rijeka,144,HNK Rijeka,dict,100,29,scraped
Croatia. Superleague,Croatia,Slaven Belupo,2362,Slaven Belupo,dict,100,38,scraped
Croatia. Superleague,Croatia,Varaždin,599,NK Varazdin,dict,100,30,scraped
Croatia. Superleague,Croatia,Vukovar,456,NK Vukovar 1991,dict,100,25,scraped
Cyprus. 1. Division,Cyprus,AEK Larnaca,2156,AEK Larnaca,dict,100,29,scraped
Cyprus. 1. Division,Cyprus,AEL,786,AEL Limassol,dict,100,27,scraped
Cyprus. 1. Division,Cyprus,APOEL,2784,APOEL Nicosia,dict,100,30,scraped
Cyprus. 1. Division,Cyprus,Akritas,31010,Akritas Chlor.,dict,100,21,scraped
Cyprus. 1. Division,Cyprus,Anorthosis,3899,Anorthosis,dict,100,32,scraped
Cyprus. 1. Division,Cyprus,Apollon,,,dict_unmatched,0,0,dict_unmatched
Cyprus. 1. Division,Cyprus,Aris,10586,Aris Limassol,dict,100,28,scraped
Cyprus. 1. Division,Cyprus,Enosis,,,dict_unmatched,0,0,dict_unmatched
Cyprus. 1. Division,Cyprus,Ethnikos Achnas,4590,Ethnikos,dict,100,19,scraped
Cyprus. 1. Division,Cyprus,Olympiakos,1402,Olympiakos N.,dict,100,25,scraped
Cyprus. 1. Division,Cyprus,Omonia Aradippou,16024,Omon. Aradippou,dict,100,29,scraped
Cyprus. 1. Division,Cyprus,Omonia Nicosia,829,Omonia Nicosia,dict,100,33,scraped
Cyprus. 1. Division,Cyprus,Pafos,45457,Pafos,dict,100,27,scraped
Cyprus. 1. Division,Cyprus,Ypsonas,,,dict_unmatched,0,0,dict_unmatched
Czech Republic. Chance Liga,Czech Republic,Baník Ostrava,377,Banik Ostrava,dict,100,26,scraped
Czech Republic. Chance Liga,Czech Republic,Bohemians 1905,715,Bohemians 1905,dict,100,30,scraped
Czech Republic. Chance Liga,Czech Republic,Dukla Praha,,,dict_unmatched,0,0,dict_unmatched
Czech Republic. Chance Liga,Czech Republic,Hradec Králové,1897,Hradec Kralove,dict,100,30,scraped
Czech Republic. Chance Liga,Czech Republic,Jablonec,1322,Jablonec,dict,100,30,scraped
Czech Republic. Chance Liga,Czech Republic,Karviná,13726,Karvina,dict,100,27,scraped
Czech Republic. Chance Liga,Czech Republic,Mladá Boleslav,5546,Mlada Boleslav,dict,100,31,scraped
Czech Republic. Chance Liga,Czech Republic,Pardubice,1496,Pardubice,dict,100,31,scraped
Czech Republic. Chance Liga,Czech Republic,Sigma Olomouc,2311,Sigma Olomouc,dict,100,33,scraped
Czech Republic. Chance Liga,Czech Republic,Slavia Praha,62,Slavia Praha,dict,100,32,scraped
Czech Republic. Chance Liga,Czech Republic,Slovan Liberec,697,Slovan Liberec,dict,100,30,scraped
Czech Republic. Chance Liga,Czech Republic,Slovácko,5544,Slovacko,dict,100,29,scraped
Czech Republic. Chance Liga,Czech Republic,Sparta Praha,197,Sparta Prague,dict,100,30,scraped
Czech Republic. Chance Liga,Czech Republic,Teplice,814,Teplice,dict,100,30,scraped
Czech Republic. Chance Liga,Czech Republic,Viktoria Plzeň,941,Viktoria Plzeň,dict,100,31,scraped
Czech Republic. Chance Liga,Czech Republic,Zlín,5545,Zlin,dict,100,33,scraped
Denmark. Superliga,Denmark,AGF,678,Aarhus GF,dict,100,27,scraped
Denmark. Superliga,Denmark,Brøndby,206,Bröndby IF,dict,100,26,scraped
Denmark. Superliga,Denmark,Fredericia,5776,FC Fredericia,dict,100,26,scraped
Denmark. Superliga,Denmark,København,190,Copenhagen,dict,100,25,scraped
Denmark. Superliga,Denmark,Midtjylland,865,Midtjylland,dict,100,29,scraped
Denmark. Superliga,Denmark,Nordsjælland,2778,Nordsjaelland,dict,100,29,scraped
Denmark. Superliga,Denmark,OB,,,dict_unmatched,0,0,dict_unmatched
Denmark. Superliga,Denmark,Randers,5724,Randers FC,dict,100,29,scraped
Denmark. Superliga,Denmark,Silkeborg,1177,Silkeborg IF,dict,100,26,scraped
Denmark. Superliga,Denmark,Sønderjyske,5817,Sönderjyske,dict,100,29,scraped
Denmark. Superliga,Denmark,Vejle,443,Vejle BK,dict,100,26,scraped
Denmark. Superliga,Denmark,Viborg,1063,Viborg FF,dict,100,25,scraped
Ecuador. Liga Pro,Ecuador,Aucas,6362,SD Aucas,dict,100,25,scraped
Ecuador. Liga Pro,Ecuador,Barcelona,3523,Barcelona SC,dict,100,32,scraped
Ecuador. Liga Pro,Ecuador,Delfin,19304,Delfín SC,dict,100,31,scraped
Ecuador. Liga Pro,Ecuador,Deportivo Cuenca,866,Nacional,dict,100,29,scraped
Ecuador. Liga Pro,Ecuador,El Nacional,1143,CD El Nacional,dict,100,24,scraped
Ecuador. Liga Pro,Ecuador,Emelec,4561,CS Emelec,dict,100,30,scraped
Ecuador. Liga Pro,Ecuador,Independiente del Valle,1234,Independiente,dict,100,24,scraped
Ecuador. Liga Pro,Ecuador,LDU Quito,9855,LDU Quito,dict,100,29,scraped
Ecuador. Liga Pro,Ecuador,Libertad,9875,Libertad,dict,100,32,scraped
Ecuador. Liga Pro,Ecuador,Macará,17426,CD Macará,dict,100,30,scraped
Ecuador. Liga Pro,Ecuador,Manta,18099,Manta FC,dict,100,29,scraped
Ecuador. Liga Pro,Ecuador,Mushuc Runa,25576,Mushuc Runa SC,dict,100,24,scraped
Ecuador. Liga Pro,Ecuador,Orense,36020,Orense SC,dict,100,27,scraped
Ecuador. Liga Pro,Ecuador,Técnico Universitario,6593,Universitario,dict,100,31,scraped
Ecuador. Liga Pro,Ecuador,Universidad Católica,3277,U. Católica,dict,100,27,scraped
Ecuador. Liga Pro,Ecuador,Vinotinto de Ecuador,25958,Vinotinto FC,dict,100,27,scraped
Ecuador. Liga Pro Serie B,Ecuador,22 de Julio,120935,22 de Julio,dict,100,29,scraped
Ecuador. Liga Pro Serie B,Ecuador,9 de Octubre,19101,AD 9 de Octubre,dict,100,31,scraped
Ecuador. Liga Pro Serie B,Ecuador,Atlético Vinotinto,13,Atlético,dict,100,25,scraped
Ecuador. Liga Pro Serie B,Ecuador,Chacaritas,63587,Chacaritas FC,dict,100,14,scraped
Ecuador. Liga Pro Serie B,Ecuador,Cumbayá,41301,Cumbayá FC,dict,100,26,scraped
Ecuador. Liga Pro Serie B,Ecuador,Gualaceo,25698,Gualaceo SC,dict,100,22,scraped
Ecuador. Liga Pro Serie B,Ecuador,Guayaquil City,25569,Guayaquil City,dict,100,27,scraped
Ecuador. Liga Pro Serie B,Ecuador,Imbabura,17476,Imbabura SC,dict,100,14,scraped
Ecuador. Liga Pro Serie B,Ecuador,Independiente Juniors,1234,Independiente,dict,100,24,scraped
Ecuador. Liga Pro Serie B,Ecuador,Leones del Norte,70466,Leones FC,dict,100,31,scraped
Ecuador. Liga Pro Serie B,Ecuador,San Antonio,47242,San Antonio FC,dict,100,28,scraped
Ecuador. Liga Pro Serie B,Ecuador,Vargas Torres,25589,Vargas Torres,dict,100,9,scraped
Egypt. Premier League,Egypt,Al Ahly,7,Ahly SC,dict,100,37,scraped
Egypt. Premier League,Egypt,Al Ittihad,8023,Al-Ittihad,dict,100,35,scraped
Egypt. Premier League,Egypt,Al Masry,9094,El Masry,dict,100,34,scraped
Egypt. Premier League,Egypt,Al Mokawloon,3369,El Mokawloon,dict,100,34,scraped
Egypt. Premier League,Egypt,Ceramica,,,dict_unmatched,0,0,dict_unmatched
Egypt. Premier League,Egypt,ENPPI,9218,Enppi SC,dict,100,41,scraped
Egypt. Premier League,Egypt,El Geish,,,dict_unmatched,0,0,dict_unmatched
Egypt. Premier League,Egypt,El Gounah,20572,El Gouna,dict,100,33,scraped
Egypt. Premier League,Egypt,Ghazl El Mehalla,,,dict_unmatched,0,0,dict_unmatched
Egypt. Premier League,Egypt,Haras El Hodood,,,dict_unmatched,0,0,dict_unmatched
Egypt. Premier League,Egypt,Ismaily,3595,Ismaily,dict,100,18,scraped
Egypt. Premier League,Egypt,Kahraba Ismailia,43316,Kahraba,dict,100,33,scraped
Egypt. Premier League,Egypt,Modern Sport,68770,Modern Sport,dict,100,34,scraped
Egypt. Premier League,Egypt,National Bank of Egypt,,,dict_unmatched,0,0,dict_unmatched
Egypt. Premier League,Egypt,Petrojet,10957,Petrojet,dict,100,32,scraped
Egypt. Premier League,Egypt,Pharco,47058,Pharco FC,dict,100,35,scraped
Egypt. Premier League,Egypt,Pyramids,44664,Pyramids FC,dict,100,34,scraped
Egypt. Premier League,Egypt,Smouha,23387,Smouha,dict,100,32,scraped
Egypt. Premier League,Egypt,Wadi Degla,18234,Wadi Degla,dict,100,36,scraped
Egypt. Premier League,Egypt,ZED FC,47010,Zed FC,dict,100,38,scraped
Egypt. Premier League,Egypt,Zamalek,664,Zamalek,dict,100,36,scraped
England. Championship,England,Birmingham City,337,Birmingham City,dict,100,27,scraped
England. Championship,England,Blackburn Rovers,164,Blackburn Rovers,dict,100,25,scraped
England. Championship,England,Bristol City,698,Bristol City,dict,100,27,scraped
England. Championship,England,Charlton Athletic,358,Charlton Athletic,dict,100,30,scraped
England. Championship,England,Coventry City,990,Coventry City,dict,100,28,scraped
England. Championship,England,Derby County,22,Derby County,dict,100,29,scraped
England. Championship,England,Hull City,3008,Hull City,dict,100,34,scraped
England. Championship,England,Ipswich Town,677,Ipswich Town,dict,100,28,scraped
England. Championship,England,Leicester City,1003,Leicester City,dict,100,27,scraped
England. Championship,England,Middlesbrough,641,FC Middlesbrough,dict,100,29,scraped
England. Championship,England,Millwall,1028,FC Milwall,dict,100,31,scraped
England. Championship,England,Norwich City,1123,Norwich City,dict,100,31,scraped
England. Championship,England,Oxford United,988,Oxford United,dict,100,27,scraped
England. Championship,England,Portsmouth,1020,FC Portsmouth,dict,100,36,scraped
England. Championship,England,Preston North End,466,Preston North End,dict,100,28,scraped
England. Championship,England,Queens Park Rangers,1039,QPR,dict,100,27,scraped
England. Championship,England,Sheffield United,350,Sheffield United,dict,100,27,scraped
England. Championship,England,Sheffield Wednesday,1035,Sheffield Wednesday,dict,100,29,scraped
England. Championship,England,Southampton,180,FC Southampton,dict,100,26,scraped
England. Championship,England,Stoke City,512,Stoke City,dict,100,27,scraped
England. Championship,England,Swansea City,2288,Swansea City,dict,100,28,scraped
England. Championship,England,Watford,1010,FC Watford,dict,100,28,scraped
England. Championship,England,West Bromwich Albion,984,West Bromwich Albion,dict,100,23,scraped
England. Championship,England,Wrexham,1112,Wrexham AFC,dict,100,28,scraped
England. League One,England,AFC Wimbledon,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Barnsley,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Blackpool,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Bolton Wanderers,2403,Wanderers,dict,100,24,scraped
England. League One,England,Bradford City,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Burton Albion,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Cardiff City,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Doncaster Rovers,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Exeter City,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Huddersfield Town,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Leyton Orient,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Lincoln City,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Luton Town,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Mansfield Town,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Northampton Town,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Peterborough United,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Plymouth Argyle,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Port Vale,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Reading,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Rotherham United,45500,DN United,dict,100,28,scraped
England. League One,England,Stevenage,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Stockport County,,,dict_unmatched,0,0,dict_unmatched
England. League One,England,Wigan Athletic,64918,Athletic,dict,100,36,scraped
England. League One,England,Wycombe Wanderers,2723,Wanderers,dict,100,26,scraped
England. League Two,England,Accrington Stanley,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Barnet,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Barrow,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Bristol Rovers,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Bromley,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Cambridge United,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Cheltenham Town,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Chesterfield,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Colchester United,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Crawley Town,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Crewe Alexandra,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Fleetwood Town,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Gillingham,4273,Athlone Town,dict,100,34,scraped
England. League Two,England,Grimsby Town,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Harrogate Town,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Milton Keynes Dons,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Newport County,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Notts County,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Oldham Athletic,64918,Athletic,dict,100,36,scraped
England. League Two,England,Salford City,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Shrewsbury Town,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Swindon Town,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Tranmere Rovers,,,dict_unmatched,0,0,dict_unmatched
England. League Two,England,Walsall,,,dict_unmatched,0,0,dict_unmatched
England. Premier League,England,Arsenal,11,Arsenal,dict,100,24,scraped
England. Premier League,England,Aston Villa,405,Aston Villa,dict,100,27,scraped
England. Premier League,England,Bournemouth,989,Bournemouth,dict,100,29,scraped
England. Premier League,England,Brentford,1148,Brentford,dict,100,29,scraped
England. Premier League,England,Brighton,1237,Brighton,dict,100,30,scraped
England. Premier League,England,Burnley,1132,Burnley,dict,100,32,scraped
England. Premier League,England,Chelsea,631,Chelsea,dict,100,28,scraped
England. Premier League,England,Crystal Palace,873,Crystal Palace,dict,100,30,scraped
England. Premier League,England,Everton,29,Everton,dict,100,21,scraped
England. Premier League,England,Fulham,931,Fulham,dict,100,27,scraped
England. Premier League,England,Leeds United,399,Leeds,dict,100,24,scraped
England. Premier League,England,Liverpool,31,Liverpool,dict,100,27,scraped
England. Premier League,England,Manchester City,281,Man City,dict,100,25,scraped
England. Premier League,England,Manchester United,985,Man Utd,dict,100,30,scraped
England. Premier League,England,Newcastle United,762,Newcastle,dict,100,26,scraped
England. Premier League,England,Nottingham Forest,703,Nott'm Forest,dict,100,24,scraped
England. Premier League,England,Sunderland,289,Sunderland,dict,100,29,scraped
England. Premier League,England,Tottenham Hotspur,148,Tottenham,dict,100,28,scraped
England. Premier League,England,West Ham United,379,West Ham,dict,100,28,scraped
England. Premier League,England,Wolverhampton Wanderers,543,Wolves,dict,100,29,scraped
Estonia. Esiliiga A,Estonia,Elva,19327,FC Elva,dict,100,20,scraped
Estonia. Esiliiga A,Estonia,FC Tallinn,63429,FC Tallinn,dict,100,30,scraped
Estonia. Esiliiga A,Estonia,FCI Levadia II,5771,FCI Levadia,dict,100,22,scraped
Estonia. Esiliiga A,Estonia,Flora II,52310,FC Flora U21,dict,100,22,scraped
Estonia. Esiliiga A,Estonia,Nõmme Kalju II,43214,JK Tammeka,dict,100,28,scraped
Estonia. Esiliiga A,Estonia,Nõmme United,28780,Nomme United,dict,100,28,scraped
Estonia. Esiliiga A,Estonia,Tallinna Kalev II,23370,Kalev,dict,100,21,scraped
Estonia. Esiliiga A,Estonia,Tammeka II,43214,JK Tammeka,dict,100,28,scraped
Estonia. Esiliiga A,Estonia,Tartu Welco,28783,JK Welco,dict,100,25,scraped
Estonia. Esiliiga A,Estonia,Viimsi,52818,Viimsi JK,dict,100,26,scraped
Europe. UEFA Champions League,Europe,Ajax,610,Ajax,dict,100,27,scraped
Europe. UEFA Champions League,Europe,Arsenal,11,Arsenal,dict,100,24,scraped
Europe. UEFA Champions League,Europe,Atalanta,800,Atalanta,dict,100,24,scraped
Europe. UEFA Champions League,Europe,Athletic Club,621,Athletic Club,dict,100,25,scraped
Europe. UEFA Champions League,Europe,Atlético Madrid,13,Atlético,dict,100,25,scraped
Europe. UEFA Champions League,Europe,Barcelona,131,Barcelona,dict,100,27,scraped
Europe. UEFA Champions League,Europe,Bayer Leverkusen,15,Leverkusen,dict,100,29,scraped
Europe. UEFA Champions League,Europe,Bayern München,27,Bayern Munich,dict,100,24,scraped
Europe. UEFA Champions League,Europe,Benfica,294,Benfica,dict,100,27,scraped
Europe. UEFA Champions League,Europe,Bodø / Glimt,501,Bodø/Glimt,dict,100,23,scraped
Europe. UEFA Champions League,Europe,Borussia Dortmund,16,Dortmund,dict,100,30,scraped
Europe. UEFA Champions League,Europe,Chelsea,631,Chelsea,dict,100,28,scraped
Europe. UEFA Champions League,Europe,Club Brugge,2282,Club Brugge,dict,100,27,scraped
Europe. UEFA Champions League,Europe,Eintracht Frankfurt,24,Frankfurt,dict,100,26,scraped
Europe. UEFA Champions League,Europe,Galatasaray,141,Galatasaray,dict,100,33,scraped
Europe. UEFA Champions League,Europe,Internazionale,46,Inter,dict,100,24,scraped
Europe. UEFA Champions League,Europe,Juventus,506,Juventus,dict,100,28,scraped
Europe. UEFA Champions League,Europe,Kairat,10482,Kairat Almaty,dict,100,24,scraped
Europe. UEFA Champions League,Europe,København,190,Copenhagen,dict,100,25,scraped
Europe. UEFA Champions League,Europe,Liverpool,31,Liverpool,dict,100,27,scraped
Europe. UEFA Champions League,Europe,Manchester City,281,Man City,dict,100,25,scraped
Europe. UEFA Champions League,Europe,Monaco,162,Monaco,dict,100,24,scraped
Europe. UEFA Champions League,Europe,Napoli,6195,Napoli,dict,100,26,scraped
Europe. UEFA Champions League,Europe,Newcastle United,762,Newcastle,dict,100,26,scraped
Europe. UEFA Champions League,Europe,Olympiacos Piraeus,683,Olympiacos,dict,100,30,scraped
Europe. UEFA Champions League,Europe,Olympique Marseille,244,Marseille,dict,100,22,scraped
Europe. UEFA Champions League,Europe,PSG,583,PSG,dict,100,24,scraped
Europe. UEFA Champions League,Europe,PSV,383,PSV,dict,100,29,scraped
Europe. UEFA Champions League,Europe,Pafos,45457,Pafos,dict,100,27,scraped
Europe. UEFA Champions League,Europe,Qarabag,10625,Qarabağ,dict,100,26,scraped
Europe. UEFA Champions League,Europe,Real Madrid,418,Real Madrid,dict,100,27,scraped
Europe. UEFA Champions League,Europe,Slavia Praha,62,Slavia Praha,dict,100,32,scraped
Europe. UEFA Champions League,Europe,Sporting CP,336,Sporting,dict,100,29,scraped
Europe. UEFA Champions League,Europe,Tottenham Hotspur,148,Tottenham,dict,100,28,scraped
Europe. UEFA Champions League,Europe,Union Saint-Gilloise,3948,Union SG,dict,100,27,scraped
Europe. UEFA Champions League,Europe,Villarreal,1050,Villarreal,dict,100,24,scraped
Europe. UEFA Europa Conference League,Europe,AEK Athens,2441,AEK Athens,dict,100,30,scraped
Europe. UEFA Europa Conference League,Europe,AEK Larnaca,2156,AEK Larnaca,dict,100,29,scraped
Europe. UEFA Europa Conference League,Europe,AZ,1090,AZ Alkmaar,dict,100,28,scraped
Europe. UEFA Europa Conference League,Europe,Aberdeen,370,Aberdeen FC,dict,100,28,scraped
Europe. UEFA Europa Conference League,Europe,Breidablik,3737,Breidablik,dict,100,20,scraped
Europe. UEFA Europa Conference League,Europe,Celje,710,NK Celje,dict,100,35,scraped
Europe. UEFA Europa Conference League,Europe,Crystal Palace,873,Crystal Palace,dict,100,30,scraped
Europe. UEFA Europa Conference League,Europe,Drita,595,SC Bastia,dict,100,21,scraped
Europe. UEFA Europa Conference League,Europe,Dynamo Kyiv,338,Dynamo Kyiv,dict,100,36,scraped
Europe. UEFA Europa Conference League,Europe,Fiorentina,430,Fiorentina,dict,100,26,scraped
Europe. UEFA Europa Conference League,Europe,Hamrun Spartans,,,dict_unmatched,0,0,dict_unmatched
Europe. UEFA Europa Conference League,Europe,Häcken,1109,Häcken,dict,100,25,scraped
Europe. UEFA Europa Conference League,Europe,Jagiellonia Białystok,2300,Jagiellonia,dict,100,35,scraped
Europe. UEFA Europa Conference League,Europe,KuPS,6251,KuPS,dict,100,31,scraped
Europe. UEFA Europa Conference League,Europe,Lausanne Sport,527,Lausanne-Sport,dict,100,27,scraped
Europe. UEFA Europa Conference League,Europe,Lech Poznań,238,Lech Poznan,dict,100,26,scraped
Europe. UEFA Europa Conference League,Europe,Legia Warszawa,255,Legia Warszawa,dict,100,27,scraped
Europe. UEFA Europa Conference League,Europe,Lincoln Red Imps,,,dict_unmatched,0,0,dict_unmatched
Europe. UEFA Europa Conference League,Europe,Mainz 05,39,Mainz,dict,100,26,scraped
Europe. UEFA Europa Conference League,Europe,Noah,,,dict_unmatched,0,0,dict_unmatched
Europe. UEFA Europa Conference League,Europe,Omonia Nicosia,829,Omonia Nicosia,dict,100,33,scraped
Europe. UEFA Europa Conference League,Europe,Raków Częstochowa,9644,Raków,dict,100,30,scraped
Europe. UEFA Europa Conference League,Europe,Rapid Wien,7001,Rapid Wien II,dict,100,35,scraped
Europe. UEFA Europa Conference League,Europe,Rayo Vallecano,367,Rayo Vallecano,dict,100,27,scraped
Europe. UEFA Europa Conference League,Europe,Rijeka,144,HNK Rijeka,dict,100,29,scraped
Europe. UEFA Europa Conference League,Europe,Samsunspor,152,Samsunspor,dict,100,34,scraped
Europe. UEFA Europa Conference League,Europe,Shakhtar Donetsk,660,Shakhtar D.,dict,100,34,scraped
Europe. UEFA Europa Conference League,Europe,Shamrock Rovers,3258,Shamrock Rovers,dict,100,33,scraped
Europe. UEFA Europa Conference League,Europe,Shelbourne,3909,Shelbourne,dict,100,31,scraped
Europe. UEFA Europa Conference League,Europe,Shkendija,,,dict_unmatched,0,0,dict_unmatched
Europe. UEFA Europa Conference League,Europe,Sigma Olomouc,2311,Sigma Olomouc,dict,100,33,scraped
Europe. UEFA Europa Conference League,Europe,Slovan Bratislava,540,Slo. Bratislava,dict,100,31,scraped
Europe. UEFA Europa Conference League,Europe,Sparta Praha,197,Sparta Prague,dict,100,30,scraped
Europe. UEFA Europa Conference League,Europe,Strasbourg,667,R. Strasbourg,dict,100,30,scraped
Europe. UEFA Europa Conference League,Europe,Universitatea Craiova,,,dict_unmatched,0,0,dict_unmatched
Europe. UEFA Europa Conference League,Europe,Zrinjski,6808,Zrinjski Mostar,dict,100,29,scraped
Europe. UEFA Europa League,Europe,Aston Villa,405,Aston Villa,dict,100,27,scraped
Europe. UEFA Europa League,Europe,Basel,26,Basel,dict,100,26,scraped
Europe. UEFA Europa League,Europe,Bologna,1025,Bologna,dict,100,27,scraped
Europe. UEFA Europa League,Europe,Brann,1100,Brann,dict,100,27,scraped
Europe. UEFA Europa League,Europe,Celta de Vigo,940,Celta de Vigo,dict,100,25,scraped
Europe. UEFA Europa League,Europe,Celtic,371,Celtic,dict,100,29,scraped
Europe. UEFA Europa League,Europe,Crvena Zvezda,159,Red Star,dict,100,27,scraped
Europe. UEFA Europa League,Europe,Dinamo Zagreb,419,Dinamo Zagreb,dict,100,36,scraped
Europe. UEFA Europa League,Europe,FCS Bucureşti,2025,FCSB,dict,100,0,dict
Europe. UEFA Europa League,Europe,Fenerbahçe,36,Fenerbahçe,dict,100,31,scraped
Europe. UEFA Europa League,Europe,Ferencváros,279,Ferencvárosi TC,dict,100,36,scraped
Europe. UEFA Europa League,Europe,Feyenoord,234,Feyenoord,dict,100,30,scraped
Europe. UEFA Europa League,Europe,Freiburg,60,Freiburg,dict,100,27,scraped
Europe. UEFA Europa League,Europe,Genk,1184,Genk,dict,100,30,scraped
Europe. UEFA Europa League,Europe,Go Ahead Eagles,1435,Go Ahead Eagles,dict,100,26,scraped
Europe. UEFA Europa League,Europe,Lille,1082,Lille,dict,100,27,scraped
Europe. UEFA Europa League,Europe,Ludogorets,31614,Ludogorets,dict,100,26,scraped
Europe. UEFA Europa League,Europe,Maccabi Tel Aviv,,,dict_unmatched,0,0,dict_unmatched
Europe. UEFA Europa League,Europe,Malmö FF,496,Malmö,dict,100,31,scraped
Europe. UEFA Europa League,Europe,Midtjylland,865,Midtjylland,dict,100,29,scraped
Europe. UEFA Europa League,Europe,Nice,417,Nice,dict,100,29,scraped
Europe. UEFA Europa League,Europe,Nottingham Forest,703,Nott'm Forest,dict,100,24,scraped
Europe. UEFA Europa League,Europe,Olympique Lyonnais,1041,Lyon,dict,100,30,scraped
Europe. UEFA Europa League,Europe,PAOK,1091,PAOK,dict,100,32,scraped
Europe. UEFA Europa League,Europe,Panathinaikos,265,Panathinaikos,dict,100,36,scraped
Europe. UEFA Europa League,Europe,Porto,720,Porto,dict,100,29,scraped
